date,hospital,city,drug,stock_units,usage_today,reorder_flag,delivery_delayed,supplier,supplier_country,geo_risk,expired,temperature_risk,unit_cost_inr
2026-04-24,Apollo Chennai,Chennai,Fluoxetine,412,65,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-03-26,CMC Vellore,Vellore,GUARDIAN,253,73,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-03-27,CMC Vellore,Vellore,GUARDIAN,175,78,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-03-28,CMC Vellore,Vellore,GUARDIAN,229,77,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-03-29,CMC Vellore,Vellore,GUARDIAN,150,79,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-03-30,CMC Vellore,Vellore,GUARDIAN,246,77,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-03-31,CMC Vellore,Vellore,GUARDIAN,167,79,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-01,CMC Vellore,Vellore,GUARDIAN,509,71,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-02,CMC Vellore,Vellore,GUARDIAN,430,79,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-03,CMC Vellore,Vellore,GUARDIAN,369,61,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-04,CMC Vellore,Vellore,GUARDIAN,303,66,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-05,CMC Vellore,Vellore,GUARDIAN,218,85,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-06,CMC Vellore,Vellore,GUARDIAN,151,67,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-07,CMC Vellore,Vellore,GUARDIAN,541,78,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-08,CMC Vellore,Vellore,GUARDIAN,462,79,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-09,CMC Vellore,Vellore,GUARDIAN,405,57,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-10,CMC Vellore,Vellore,GUARDIAN,333,72,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-11,CMC Vellore,Vellore,GUARDIAN,265,68,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-12,CMC Vellore,Vellore,GUARDIAN,207,58,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-13,CMC Vellore,Vellore,GUARDIAN,149,58,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-14,CMC Vellore,Vellore,GUARDIAN,282,57,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-15,CMC Vellore,Vellore,GUARDIAN,214,68,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-16,CMC Vellore,Vellore,GUARDIAN,603,80,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-17,CMC Vellore,Vellore,GUARDIAN,533,70,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-18,CMC Vellore,Vellore,GUARDIAN,453,80,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-19,CMC Vellore,Vellore,GUARDIAN,386,67,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-20,CMC Vellore,Vellore,GUARDIAN,306,80,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-21,CMC Vellore,Vellore,GUARDIAN,246,60,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-22,CMC Vellore,Vellore,GUARDIAN,177,69,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-23,CMC Vellore,Vellore,GUARDIAN,104,73,True,True,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-04-24,CMC Vellore,Vellore,GUARDIAN,353,68,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,541
2026-03-26,Narayana Health,Bangalore,PGE,94,10,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-03-27,Narayana Health,Bangalore,PGE,83,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-03-28,Narayana Health,Bangalore,PGE,72,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-03-29,Narayana Health,Bangalore,PGE,64,8,False,False,MedSupply India,India,LOW,False,HIGH,4189
2026-03-30,Narayana Health,Bangalore,PGE,54,10,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-03-31,Narayana Health,Bangalore,PGE,43,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-01,Narayana Health,Bangalore,PGE,32,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-02,Narayana Health,Bangalore,PGE,23,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-03,Narayana Health,Bangalore,PGE,504,10,True,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-04,Narayana Health,Bangalore,PGE,494,10,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-05,Narayana Health,Bangalore,PGE,485,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-06,Narayana Health,Bangalore,PGE,477,8,False,False,MedSupply India,India,LOW,False,HIGH,4189
2026-04-07,Narayana Health,Bangalore,PGE,466,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-08,Narayana Health,Bangalore,PGE,458,8,False,False,MedSupply India,India,LOW,False,CRITICAL,4189
2026-04-09,Narayana Health,Bangalore,PGE,449,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-10,Narayana Health,Bangalore,PGE,439,10,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-11,Narayana Health,Bangalore,PGE,428,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-12,Narayana Health,Bangalore,PGE,419,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-13,Narayana Health,Bangalore,PGE,411,8,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-14,Narayana Health,Bangalore,PGE,400,11,False,False,MedSupply India,India,LOW,False,HIGH,4189
2026-04-15,Narayana Health,Bangalore,PGE,391,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-16,Narayana Health,Bangalore,PGE,380,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-17,Narayana Health,Bangalore,PGE,369,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-18,Narayana Health,Bangalore,PGE,360,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-19,Narayana Health,Bangalore,PGE,350,10,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-20,Narayana Health,Bangalore,PGE,341,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-21,Narayana Health,Bangalore,PGE,330,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-22,Narayana Health,Bangalore,PGE,321,9,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-23,Narayana Health,Bangalore,PGE,313,8,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-04-24,Narayana Health,Bangalore,PGE,302,11,False,False,MedSupply India,India,LOW,False,LOW,4189
2026-03-26,AIIMS Delhi,Delhi,Klean,287,25,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-03-27,AIIMS Delhi,Delhi,Klean,254,33,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-03-28,AIIMS Delhi,Delhi,Klean,231,23,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-03-29,AIIMS Delhi,Delhi,Klean,205,26,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-03-30,AIIMS Delhi,Delhi,Klean,180,25,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-03-31,AIIMS Delhi,Delhi,Klean,148,32,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-01,AIIMS Delhi,Delhi,Klean,114,34,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-02,AIIMS Delhi,Delhi,Klean,88,26,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-03,AIIMS Delhi,Delhi,Klean,64,24,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-04,AIIMS Delhi,Delhi,Klean,39,25,True,True,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-05,AIIMS Delhi,Delhi,Klean,429,23,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-06,AIIMS Delhi,Delhi,Klean,404,25,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-07,AIIMS Delhi,Delhi,Klean,380,24,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-08,AIIMS Delhi,Delhi,Klean,347,33,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-09,AIIMS Delhi,Delhi,Klean,324,23,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-10,AIIMS Delhi,Delhi,Klean,300,24,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-11,AIIMS Delhi,Delhi,Klean,277,23,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-12,AIIMS Delhi,Delhi,Klean,245,32,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-13,AIIMS Delhi,Delhi,Klean,211,34,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-14,AIIMS Delhi,Delhi,Klean,183,28,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-15,AIIMS Delhi,Delhi,Klean,153,30,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-16,AIIMS Delhi,Delhi,Klean,123,30,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-17,AIIMS Delhi,Delhi,Klean,92,31,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-18,AIIMS Delhi,Delhi,Klean,58,34,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-19,AIIMS Delhi,Delhi,Klean,453,23,True,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-20,AIIMS Delhi,Delhi,Klean,422,31,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-21,AIIMS Delhi,Delhi,Klean,391,31,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-22,AIIMS Delhi,Delhi,Klean,358,33,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-23,AIIMS Delhi,Delhi,Klean,324,34,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-04-24,AIIMS Delhi,Delhi,Klean,291,33,False,False,GlobalMeds Inc,USA,MEDIUM,False,NORMAL,1273
2026-03-26,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,118,61,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-03-27,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,62,56,True,True,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-03-28,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,145,45,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-03-29,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,553,47,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-03-30,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,501,52,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-03-31,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,455,46,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-01,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,235,220,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-02,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,184,51,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-03,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,126,58,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-04,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,272,46,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-05,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,212,60,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-06,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,162,50,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-07,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,104,58,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-08,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,493,51,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-09,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,442,51,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-10,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,382,60,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-11,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,325,57,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-12,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,271,54,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-13,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,226,45,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-14,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,177,49,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-15,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,132,45,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-16,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,479,50,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-17,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,429,50,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-18,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,387,42,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-19,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,327,60,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-20,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,147,180,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-21,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,214,53,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-22,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,174,40,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-23,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,127,47,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-04-24,AIIMS Delhi,Delhi,Dexamethasone Sodium Phosphate Injection,284,53,True,False,OncoLife Sciences,Germany,LOW,False,NORMAL,548
2026-03-26,AIIMS Delhi,Delhi,NYSTATIN,426,68,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-03-27,AIIMS Delhi,Delhi,NYSTATIN,360,66,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-03-28,AIIMS Delhi,Delhi,NYSTATIN,293,67,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-03-29,AIIMS Delhi,Delhi,NYSTATIN,205,88,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-03-30,AIIMS Delhi,Delhi,NYSTATIN,565,80,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-03-31,AIIMS Delhi,Delhi,NYSTATIN,491,74,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-01,AIIMS Delhi,Delhi,NYSTATIN,406,85,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-02,AIIMS Delhi,Delhi,NYSTATIN,337,69,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-03,AIIMS Delhi,Delhi,NYSTATIN,273,64,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-04,AIIMS Delhi,Delhi,NYSTATIN,202,71,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-05,AIIMS Delhi,Delhi,NYSTATIN,351,91,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-06,AIIMS Delhi,Delhi,NYSTATIN,263,88,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-07,AIIMS Delhi,Delhi,NYSTATIN,170,93,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-08,AIIMS Delhi,Delhi,NYSTATIN,551,67,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-09,AIIMS Delhi,Delhi,NYSTATIN,484,67,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-10,AIIMS Delhi,Delhi,NYSTATIN,391,93,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-11,AIIMS Delhi,Delhi,NYSTATIN,301,90,False,False,LifeSave Pharma,India,LOW,False,HIGH,1717
2026-04-12,AIIMS Delhi,Delhi,NYSTATIN,233,68,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-13,AIIMS Delhi,Delhi,NYSTATIN,256,89,True,False,LifeSave Pharma,India,LOW,False,HIGH,1717
2026-04-14,AIIMS Delhi,Delhi,NYSTATIN,188,68,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-15,AIIMS Delhi,Delhi,NYSTATIN,532,94,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-16,AIIMS Delhi,Delhi,NYSTATIN,440,92,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-17,AIIMS Delhi,Delhi,NYSTATIN,188,252,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-18,AIIMS Delhi,Delhi,NYSTATIN,384,64,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-19,AIIMS Delhi,Delhi,NYSTATIN,308,76,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-20,AIIMS Delhi,Delhi,NYSTATIN,239,69,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-21,AIIMS Delhi,Delhi,NYSTATIN,158,81,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-22,AIIMS Delhi,Delhi,NYSTATIN,364,87,True,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-04-23,AIIMS Delhi,Delhi,NYSTATIN,290,74,False,False,LifeSave Pharma,India,LOW,False,CRITICAL,1717
2026-04-24,AIIMS Delhi,Delhi,NYSTATIN,220,70,False,False,LifeSave Pharma,India,LOW,False,MEDIUM,1717
2026-03-26,Fortis Mumbai,Mumbai,TRI-TEST,0,97,True,True,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-03-27,Fortis Mumbai,Mumbai,TRI-TEST,0,137,True,True,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-03-28,Fortis Mumbai,Mumbai,TRI-TEST,397,108,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-03-29,Fortis Mumbai,Mumbai,TRI-TEST,264,133,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-03-30,Fortis Mumbai,Mumbai,TRI-TEST,523,113,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-03-31,Fortis Mumbai,Mumbai,TRI-TEST,319,204,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-01,Fortis Mumbai,Mumbai,TRI-TEST,219,100,True,True,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-02,Fortis Mumbai,Mumbai,TRI-TEST,525,95,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-03,Fortis Mumbai,Mumbai,TRI-TEST,422,103,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-04,Fortis Mumbai,Mumbai,TRI-TEST,305,117,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-05,Fortis Mumbai,Mumbai,TRI-TEST,540,105,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-06,Fortis Mumbai,Mumbai,TRI-TEST,413,127,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-07,Fortis Mumbai,Mumbai,TRI-TEST,290,123,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-08,Fortis Mumbai,Mumbai,TRI-TEST,455,99,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-09,Fortis Mumbai,Mumbai,TRI-TEST,351,104,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-10,Fortis Mumbai,Mumbai,TRI-TEST,394,139,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-11,Fortis Mumbai,Mumbai,TRI-TEST,283,111,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-12,Fortis Mumbai,Mumbai,TRI-TEST,507,141,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-13,Fortis Mumbai,Mumbai,TRI-TEST,390,117,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-14,Fortis Mumbai,Mumbai,TRI-TEST,272,118,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-15,Fortis Mumbai,Mumbai,TRI-TEST,408,133,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-16,Fortis Mumbai,Mumbai,TRI-TEST,0,528,True,True,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-17,Fortis Mumbai,Mumbai,TRI-TEST,0,111,True,True,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-18,Fortis Mumbai,Mumbai,TRI-TEST,227,109,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-19,Fortis Mumbai,Mumbai,TRI-TEST,253,141,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-20,Fortis Mumbai,Mumbai,TRI-TEST,284,137,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-21,Fortis Mumbai,Mumbai,TRI-TEST,551,140,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-22,Fortis Mumbai,Mumbai,TRI-TEST,425,126,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-23,Fortis Mumbai,Mumbai,TRI-TEST,296,129,False,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-04-24,Fortis Mumbai,Mumbai,TRI-TEST,486,104,True,False,BioPharm Ltd,India,LOW,False,CRITICAL,655
2026-03-26,AIIMS Delhi,Delhi,Minoxidil,289,26,False,False,OncoLife Sciences,Germany,LOW,False,NORMAL,1379
